date,wsj_mean_compound,reuters_mean_compound,cnbc_mean_compound,bloomberg_mean_compound,adj close
11/15/21,-0.00545,-0.0002454,-0.0004047,-0.2182333,1
11/16/21,0.0337143,0.0000739,0.3953,-0.1833091,-1
11/17/21,-0.0544769,0.1193,-0.31245,-0.0251625,-1
11/18/21,-0.0084273,0.1344333,0.100475,0.05175,-1
11/19/21,0.08285,0.06532,0.1973571,0.3041667,-1
11/22/21,-0.1363667,0.0591,0.1858,-0.1288667,-1
11/23/21,0.12738,0.0592,0.2754,0.0585667,1
11/24/21,-0.1804,-0.0972,-0.2247,0.00205,-1
11/26/21,-0.0516,-0.0762571,-0.0589143,-0.1771833,-1
11/29/21,-0.0013286,-0.0002526,-0.0918,-0.0192714,-1
11/30/21,-0.1628857,0.1835143,-0.06165,-0.0509909,-1
12/1/21,-0.0033556,0.17914,-0.0270444,0.0685,1
12/2/21,0.0456833,0.0380857,-0.19218,0.08244,-1
12/3/21,0.0513125,-0.0860857,-0.0000052,-0.0879444,1
12/6/21,0.0527692,0.0260625,0.0596333,0.0001964,1
12/7/21,-0.29692,-0.1054857,0.176725,-0.1844778,-1
12/8/21,-0.0200429,-0.2250333,0.0674333,0.0781333,-1
12/9/21,-0.1416,-0.0137444,0.0674333,-0.0004752,-1
12/10/21,0.2318125,-0.03025,0.0000105,-0.1236667,-1
12/13/21,-0.0465833,-0.0303778,-0.0789,0.1187,1
12/14/21,-0.0393769,-0.0225909,0.0881667,-0.087,1
12/15/21,-0.09875,-0.2672,-0.0005411,-0.0188,-1
12/16/21,0.0726273,0.0026154,-0.20382,0.07965,-1
12/17/21,0.041275,-0.1687667,-0.2212,-0.0887571,-1
12/20/21,-0.06982,-0.2234455,-0.0007049,0.0735833,1
12/21/21,0.0682875,0.1409778,0.1474,0.282475,1
12/22/21,0.0582125,0.1047545,0.3858667,-0.311275,1
12/23/21,0.1795667,-0.1044091,0.050575,-0.0603667,1
12/27/21,0.20606,0.03436,0.0000334,-0.16766,-1
12/28/21,-0.1094222,0.0796,0.41355,-0.1133333,-1
12/29/21,0.1593429,0.18505,-0.0398889,-0.28595,-1
12/30/21,-0.0806333,0.1109,0.14435,0.38565,1
12/31/21,0,0,0,0,-1
1/3/22,0.0823222,0.1427222,0.24265,0.0643125,-1
1/4/22,0.0734,0.291,-0.0424222,0.08696,-1
1/5/22,0.1071,-0.13173,-0.16766,-0.0063042,1
1/6/22,0.1300333,0.1428167,0.20356,-0.00628,-1
1/7/22,-0.17304,0.0636071,-0.057275,0.052675,-1
1/10/22,0.0056917,0.060975,0.1469,0.0031059,1
1/11/22,0.1961,-0.0809286,-0.0416,-0.1476,-1
1/12/22,-0.0531125,0.0327,0.050575,0.26335,-1
1/13/22,-0.0823167,0.1175,0.42518,0.07696,1
1/14/22,0.0786778,-0.2284667,-0.132475,-0.1366,-1
1/18/22,-0.0544455,0.0620125,-0.0592,0.1630667,-1
1/19/22,0.09253,-0.0654727,-0.184925,0.05898,-1
1/20/22,-0.0837667,0.06528,-0.1897333,0.10004,-1
1/21/22,0.1307583,-0.07971,-0.2470143,0.2214833,-1
1/24/22,0.0648167,-0.1092077,-0.0290813,-0.0344,-1
1/25/22,0.0057583,-0.06971,0.029375,0.016425,-1
1/26/22,0.0644444,0.02919,0.175425,-0.0416667,-1
1/27/22,-0.0703167,-0.0573364,-0.0064429,0.29545,1
1/28/22,0.144775,0.14595,-0.05274,0.0076026,1
1/31/22,0.0778,-0.0033375,-0.1942333,-0.4398667,-1
2/1/22,0.1476818,-0.0332231,-0.02456,0.1136143,-1
2/2/22,0.0634667,0.04541,0.0414143,0.24825,-1
2/3/22,0.1265636,0.0083333,0.0593833,0.02755,1
2/4/22,-0.1905875,0.0446857,0.1060667,-0.1702,-1
2/7/22,0.0181667,0.0180727,0.0342333,0.085,1
2/8/22,-0.0122571,0.1901286,-0.2553,0.0429,1
2/9/22,-0.0979222,0.24463,0.0862833,0.0078,1
2/10/22,0.1139333,-0.1374667,0.26335,0.1526333,-1
2/11/22,0.0483727,-0.2114462,-0.0986667,-0.00755,-1
2/14/22,0.0639,-0.1558,-0.119175,-0.3291,1
2/15/22,-0.0023,-0.030675,-0.23835,-0.4404,1
2/16/22,-0.1641438,0.0385417,0.0893625,0.0308,-1
2/17/22,0.0615615,-0.1489231,-0.1334667,0.1078,-1
2/18/22,-0.01694,-0.0879,-0.1932667,-0.3715,-1
2/22/22,-0.0235,-0.1663833,-0.18896,0.0894,-1
2/23/22,-0.1053333,-0.06381,-0.1317875,-0.3057,1
2/24/22,-0.1573357,-0.0927556,-0.1504333,-0.0949667,1
2/25/22,-0.0710417,0.1897143,-0.25236,-0.07655,1
2/28/22,0.0691,-0.0860769,-0.0429222,0.0510333,-1
3/1/22,-0.0537,-0.2878,0.069475,-0.0060261,1
3/2/22,-0.10522,-0.0712692,-0.0810333,-0.05275,-1
3/3/22,-0.18354,-0.1018636,0.20315,-0.025675,-1
3/4/22,-0.0164889,-0.2877,-0.1879,0.0815429,-1
3/7/22,-0.1676875,-0.1050667,-0.0014176,-0.29295,1
3/8/22,-0.0625154,-0.1159,-0.264,0.0332143,-1
3/9/22,-0.087025,0.0897769,0.13935,-0.11205,1
3/10/22,-0.1784667,-0.0254529,0.0746286,-0.0079,-1
3/11/22,-0.1685,0.0384727,-0.13585,-0.5268667,-1
3/14/22,0.1675364,0.058025,-0.1413167,-0.2071333,1
3/15/22,0.0260214,-0.1172333,-0.0299,-0.0078333,1
3/16/22,-0.23303,-0.0774714,0.0946333,-0.0472444,1
3/17/22,0.1184636,-0.0874125,0.244,-0.0426667,1
3/18/22,-0.1000167,-0.183825,0.412325,-0.21965,-1
3/21/22,-0.1185545,-0.0014002,-0.0592286,-0.24736,1
3/22/22,-0.0872091,-0.05664,0.0905333,0.023,-1
3/23/22,-0.0585222,-0.2382167,0.079,-0.2772556,1
3/24/22,0.0336385,-0.0199833,0.18936,-0.03075,-1
3/25/22,0.0297091,0.050575,0.1147,-0.2667,1
3/28/22,-0.0411917,0.2447833,-0.0291,-0.1668,-1
3/29/22,-0.02133,0.03227,0.136075,-0.0421667,-1
3/30/22,-0.0343889,-0.04335,0.0493333,-0.0410545,-1
3/31/22,-0.1142929,0.02665,0.0840857,0.0483,-1
4/1/22,-0.0197444,-0.1083714,-0.0758125,0.00339,1
4/4/22,-0.0819,0.3513,-0.0035,-0.1440143,-1
4/5/22,0.0786286,0.11535,0.08338,-0.1026636,-1
4/6/22,0.0309625,-0.0493333,-0.0548,-0.2969286,1
4/7/22,0.0060786,0.14404,0.0006577,0.0734,-1
4/8/22,-0.0094706,0.3567667,0.08038,-0.133075,1
4/11/22,-0.0463333,0.0674333,-0.1111375,0.1078375,-1
4/12/22,-0.0662733,0.0109,0.12765,-0.21848,1
4/13/22,-0.0286611,0.03655,-0.11982,-0.1495,-1
4/14/22,-0.2196125,0.1332333,-0.0049,0.0335636,1
4/18/22,-0.1719769,-0.1048,-0.0002775,0.13616,1
4/19/22,0.0460417,0.0747,0.0683,0.2042833,-1
4/20/22,0.1038556,-0.0237143,-0.07655,0.1911,-1
4/21/22,-0.067,-0.027525,0.0716,-0.1193333,-1
4/22/22,0.0156667,0.123475,-0.0512143,-0.00164,1
4/25/22,0.0345909,-0.28966,0.07812,-0.1032,-1
4/26/22,0.0800143,0.0441625,0.0033714,0.0290857,1
4/27/22,-0.1218529,0.0208,-0.0609667,0.1315111,1
4/28/22,0.0463722,0.07955,-0.3210833,-0.0159308,-1
4/29/22,-0.0824556,-0.0171,-0.057025,-0.0423929,1
5/2/22,-0.1384077,0.48845,-0.0313571,0.02463,1
5/3/22,-0.0149,-0.168775,-0.06642,-0.17408,1
5/4/22,0.1039,-0.12604,-0.02087,-0.04605,-1
5/5/22,-0.06081,-0.0216857,0.05644,0.05135,-1
5/6/22,-0.0420875,-0.1414143,-0.024225,-0.2043091,-1
5/9/22,0.0753818,0.0796556,0.0603,-0.10508,-1
5/10/22,-0.0286353,-0.1579333,0.0742,0.2965625,1
5/11/22,-0.02975,0.0741,0.1175,-0.1086636,1
5/12/22,-0.0474833,0.03791,-0.0415417,-0.0979083,1
5/13/22,0.01298,0.0328667,-0.0093143,-0.3132889,-1
5/16/22,-0.12546,-0.2160333,-0.108625,-0.0675786,-1
5/17/22,0.0817889,0.17916,0.3683143,-0.2195286,-1
5/18/22,-0.1072,-0.250975,0.1628667,-0.1123154,1
5/19/22,-0.0117647,-0.0292813,0.0024267,0.0430762,-1
5/20/22,-0.0341455,-0.07706,0.0062667,-0.2054938,1
5/23/22,0.0385238,0.2065333,0.12072,-0.2228857,-1
5/24/22,0.0340167,-0.2961667,-0.2202,-0.1348467,1
5/25/22,-0.1200368,0.0364778,0.1308667,-0.2040667,1
5/26/22,-0.0474292,0.0784,-0.1646333,0.0666143,1
5/27/22,-0.03584,-0.2750667,0.3263,0.1511,-1
5/31/22,0.056312,0.2269333,0.0262125,0.1461769,-1
6/1/22,-0.007168,-0.2668286,0.1133333,-0.09055,1
6/2/22,-0.0517682,-0.03512,0.344525,0.00996,1
6/3/22,0.1335944,0.1897333,-0.0065667,-0.0197,-1
6/6/22,-0.2921647,0.17,-0.0894,0.143,1
6/7/22,-0.129348,-0.0229125,0.11428,0.0441364,1
6/8/22,-0.0366125,0.01875,-0.0631286,-0.1859643,-1
6/9/22,-0.0533789,-0.1076222,-0.11216,-0.0644545,-1
6/10/22,-0.0847481,0.0257333,0.06025,-0.0602286,-1
6/13/22,-0.1210167,-0.0905154,0.0111667,-0.0502615,-1
6/14/22,0.0087773,-0.1267833,0.0764833,-0.1138462,1
6/15/22,0.059575,-0.00618,-0.1843273,-0.2198438,-1
6/16/22,-0.0163259,-0.3025,0.221,-0.1559273,1
6/17/22,-0.0432913,-0.1466857,-0.0477556,-0.11505,1
6/21/22,-0.0829625,-0.0559167,-0.07132,0.0482,1
6/22/22,-0.1509214,-0.1004286,-0.29905,0.0253125,-1
6/23/22,0.0594172,0.0621636,-0.03785,-0.0762118,1
6/24/22,-0.0146167,0.16786,-0.0256667,-0.0733417,-1
6/27/22,-0.0652846,-0.048325,0.0899714,0.10945,-1
6/28/22,-0.0443429,0.1405,0.337225,0.1643667,-1
6/29/22,-0.0435167,0.0209067,0.1790167,-0.0495818,-1
6/30/22,-0.0200111,-0.2980364,-0.24159,0.0942786,1
7/1/22,0.0740458,-0.1565,-0.1872429,-0.1657385,1
7/5/22,0.01744,-0.24382,-0.1402333,-0.35875,1
7/6/22,-0.0002056,0.0143333,-0.23132,-0.0129,1
7/7/22,-0.0004277,0.10115,-0.06472,-0.4215,1
7/8/22,0.0001647,0.1998,-0.22805,0.0910667,-1
7/11/22,-0.0986667,-0.148,0.119175,-0.21075,-1
7/12/22,0.1909,-0.2376,-0.1078333,-0.0005749,1
7/13/22,0.0003075,0.11092,0.0861333,-0.0426667,1
7/14/22,-0.296,-0.023,-0.1743,-0.2235,-1
7/15/22,-0.2796,-0.25355,-0.00176,-0.0072962,-1
7/18/22,-0.4019,0.0986667,-0.1646333,-0.0020781,1
7/19/22,0.4404,0.2553,0.0356875,0.1755667,1
7/20/22,0.0022976,0.5994,0.25954,0.0238331,1
7/21/22,0.0002668,0.67445,0.1023667,0.0227202,-1
7/22/22,-0.2732,-0.5106,0.0439,0.3062,-1
7/25/22,0.0000437,0.0000452,0.01425,0.0001801,-1
7/26/22,-0.3976,0.0894667,-0.0934,0.301875,1
7/27/22,0.2294,0.105375,0.09176,-0.14365,1
7/28/22,0.0003081,0.31835,0.0426875,-0.0908,1
7/29/22,0.0019852,0.3774,0.0048333,0.2553,1
8/1/22,-0.296,-0.0008474,0.1182286,-0.19415,1
8/2/22,-0.5994,0.2229667,-0.0969,-0.0006509,1
8/3/22,0.0010275,-0.0255,0.1779,0.3193,-1
8/4/22,0.1807667,-0.0567333,0.201625,-0.0444,1
8/5/22,-0.14925,0.0164,0.092375,0.3284,-1
8/8/22,-0.0004245,-0.0005217,-0.04955,-0.120925,-1
8/9/22,-0.2023,-0.3263,-0.1115833,-0.085,-1
8/10/22,0.0015688,0.6597,-0.02965,0.107425,-1
8/11/22,0.34,0.0232333,0.0903,0.6486,1
8/12/22,0.26335,0.507825,0.2790875,-0.0866091,1
8/15/22,0.082225,0.3137,-0.0949,-0.1591,1
8/16/22,0.0005497,0.148,0.121,0.0420833,1
8/17/22,0.0001226,-0.008025,0.2251889,-0.0910667,-1
8/18/22,-0.0002425,-0.1282667,-0.3165667,0.09814,-1
8/19/22,0.19935,-0.2986,0.0096444,-0.3033667,-1
8/22/22,-0.0028198,-0.8339,-0.137325,-0.0166355,1
8/23/22,-0.2559,-0.0118833,-0.104333,-0.083333,1
8/24/22,-0.3818,-0.025675,-0.031945,0.2553,1
8/25/22,0.4215,-0.0792,0.0585583,0.07828,-1
8/26/22,-0.0000544,-0.091666,0.100476,-0.17,1
8/29/22,-0.4939,0.35015,-0.1571,0.06815,-1
8/30/22,0.2202,0.29905,-0.1996333,0.1722667,-1
8/31/22,-0.0015234,-0.61245,-0.1306167,-0.0204306,1
9/1/22,-0.0001409,-0.1909,-0.09908,-0.0027147,-1
9/2/22,-0.3182,0.5267,-0.1162857,-0.13194,-1
9/6/22,-0.0006559,-0.0007566,0.0012917,-0.238225,1
9/7/22,0.34,0.4144,-0.3933,0.3033667,1
9/8/22,-0.195675,0.34,-0.004083333,-0.20095,